Description,Calories,Protein,Fat,Carbs
"WALNUTS,BLACK,DRIED",618.0,24.06,59.0,9.91
"WALNUTS,ENGLISH",654.0,15.23,65.21,13.71
"BREADFRUIT SEEDS,ROASTED",207.0,6.2,2.7,40.1
"COTTONSEED KRNLS,RSTD (GLANDLESS)",506.0,32.59,36.29,21.9
"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",446.0,18.55,19.4,53.75
"SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",595.0,17.0,53.76,21.19
"CHESTNUTS,EUROPEAN,RSTD",245.0,3.17,2.2,52.96
"SESAME BUTTER,PASTE",586.0,18.08,50.87,24.05
"SESAME FLOUR,HIGH-FAT",526.0,30.78,37.1,26.62
"SESAME BUTTER,TAHINI,FROM UNROASTED KRNLS",607.0,17.95,56.44,17.89
"WATERMELON SD KRNLS,DRIED",557.0,28.33,47.37,15.31
"CHESTNUTS,JAPANESE,DRIED",360.0,5.25,1.24,81.43
"COCONUT MILK,FRZ (LIQ EXPRESSED FROM GRATED MEAT&H2O)",202.0,1.61,20.8,5.58
"COCONUT MEAT,DRIED (DESICCATED),CRMD",684.0,5.3,69.08,21.52
"COCONUT MEAT,DRIED (DESICCATED),SWTND,SHREDDED",501.0,2.88,35.49,47.67
"SISYMBRIUM SP. SEEDS,WHL,DRIED",318.0,12.14,4.6,58.26
"ALMOND BUTTER,PLN,WO/SALT",614.0,20.96,55.5,18.82
"SESAME BUTTER,TAHINI,FROM RAW&STONE GROUND KRNLS",570.0,17.81,48.0,26.19
"FORMULATED,WHEAT-BASED,FLAV,MACADAMIA FLAV,WO/SALT",619.0,11.19,56.5,27.91
"FORMULATED,WHEAT-BASED,ALL FLAVORS XCPT MACADAMIA,WO/SALT",647.0,13.11,62.3,20.79
"SESAME SD KRNLS,DRIED (DECORT)",631.0,20.45,61.21,11.73
"CHESTNUTS,JAPANESE,RAW",154.0,2.25,0.53,34.91
"CHESTNUTS,JAPANESE,BLD&STMD",56.0,0.82,0.19,12.64
"CHESTNUTS,JAPANESE,RSTD",201.0,2.97,0.8,45.13
"LOTUS SEEDS,RAW",89.0,4.13,0.53,17.28
"ALMONDS,HONEY RSTD,UNBLANCHED",594.0,18.17,49.9,27.9
"SEEDS,FLAXSEED",534.0,18.29,42.16,28.88
"PUMPKIN&SQUASH SD KRNLS,RSTD,W/SALT",574.0,29.84,49.05,14.71
"SESAME SD KRNLS,TSTD,W/SALT (DECORT)",567.0,16.96,48.0,26.04
"SUNFLOWER SD KRNLS,DRY RSTD,W/SALT",582.0,19.33,49.8,24.07
"SUNFLOWER SD KRNLS,OIL RSTD,W/SALT",592.0,20.06,51.3,22.89
"SUNFLOWER SD KRNLS,TSTD,W/SALT",619.0,17.21,56.8,20.59
"SUNFLOWER SD BUTTER,W/SALT",617.0,17.28,55.2,23.32
"ALMONDS,DRY RSTD,W/SALT",595.0,21.06,52.05,21.2
"ALMONDS,OIL RSTD,W/SALT",607.0,21.23,55.17,17.68
"CASHEW NUTS,DRY RSTD,W/SALT",574.0,15.31,46.35,32.69
"CASHEW NUTS,OIL RSTD,W/SALT",581.0,16.84,47.77,30.16
"CASHEW BUTTER,PLN,W/SALT",587.0,17.56,49.41,27.57
"MACADAMIA NUTS,DRY RSTD,W/SALT",716.0,7.79,76.08,12.83
"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",594.0,17.3,51.45,25.35
"NUTS,MXD NUTS,OIL RSTD,W/ PNUTS,W/ SALT ADDED",607.0,20.04,53.95,21.05
"NUTS,MXD NUTS,OIL RSTD,WO/ PNUTS,W/ SALT ADDED",615.0,15.52,56.17,22.27
"PECANS,DRY RSTD,W/SALT",710.0,9.5,74.27,13.55
"PECANS,OIL RSTD,W/SALT",715.0,9.2,75.23,13.01
"PISTACHIO NUTS,DRY RSTD,W/SALT",564.0,20.95,44.82,28.66
"PUMPKIN&SQUASH SEEDS,WHL,RSTD,W/SALT",446.0,18.55,19.4,53.75
"ALMOND BUTTER,PLN,W/SALT",614.0,20.96,55.5,18.82
"SESAME BUTTER,TAHINI,KRNLS UNSPEC",592.0,17.4,53.01,21.5
"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",117.0,23.07,2.69,0.0
"BEEF,CARCASS,LN&FAT,CHOIC,RAW",291.0,17.32,24.05,0.0
"BEEF,CARCASS,LN&FAT,SEL,RAW",278.0,17.48,22.55,0.0
"BEEF,RTL CUTS,FAT,RAW",674.0,8.21,70.89,0.0
"BEEF,RTL CUTS,FAT,CKD",680.0,10.65,70.33,0.0
"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",155.0,20.72,7.37,0.0
"BEEF,GRASS-FED,GROUND,RAW",192.0,19.42,12.73,0.0
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",280.0,28.97,17.37,0.0
"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",165.0,21.22,8.29,0.0
"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",263.0,26.98,16.44,0.0
"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",202.0,27.55,9.31,0.0
"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW",149.0,21.72,6.29,0.0
"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD",237.0,28.02,13.0,0.0
"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",194.0,27.82,8.32,0.0
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",274.0,17.51,22.07,0.0
"BF,RIB,EYE,SML END (RIB 10-12),LN & FT,0"" FAT,CHOIC,CKD,BRLD",265.0,26.58,16.76,0.0
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",161.0,20.13,8.3,0.0
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",205.0,28.88,9.01,0.0
"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",388.0,14.4,36.23,0.0
"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,CKD,BRSD",471.0,21.57,41.98,0.0
"BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW",173.0,19.05,10.19,0.0
"BEEF,RIB,SHORTRIBS,LN,CHOIC,CKD,BRSD",295.0,30.76,18.13,0.0
"BEEF,RND,FULL CUT,LN,1/4""FAT,CHOIC,CKD,BRLD",191.0,29.21,7.31,0.0
"BEEF,RND,FULL CUT,LN,1/4""FAT,SEL,CKD,BRLD",172.0,29.25,5.22,0.0
"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",221.0,32.21,9.24,0.0
"USDA CMDTY,BF,CND",246.0,20.52,17.57,0.0
"BEEF,SHANK CROSSCUTS,LN,1/4""FAT,CHOIC,RAW",128.0,21.75,3.85,0.0
"BEEF,SHANK CROSSCUTS,LN,1/4""FAT,CHOIC,CKD,SIMMRD",201.0,33.68,6.36,0.0
"BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW",149.0,21.17,6.57,0.0
"BEEF,CHUCK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD",216.0,30.54,10.46,0.0
"BEEF,CHK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD, BRSD",140.0,21.13,6.07,0.31
"BEEF,CHCK,UND BL POT RST OR STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",145.0,21.19,6.51,0.39
"BEEF,GROUND,PATTIES,FRZ,CKD,BRLD",295.0,23.05,21.83,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",143.0,10.86,10.3,1.05
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",196.0,12.57,15.83,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD",151.0,11.67,10.53,1.48
"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",112.0,17.72,3.94,0.14
"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",165.0,28.48,4.73,0.15
"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",99.0,17.4,3.09,0.29
"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",158.0,27.27,4.65,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",135.0,20.36,3.63,3.89
"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",191.0,29.08,5.26,5.13
"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",175.0,26.52,4.68,5.16
"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",92.0,16.2,2.5,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",120.0,20.4,3.7,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",276.0,14.97,23.52,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",235.0,15.7,18.6,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",271.0,27.1,17.2,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",105.0,18.3,3.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",145.0,25.1,4.2,0.0
"BEEF,VAR MEATS & BY-PRODUCTS,SUET,RAW",854.0,1.5,94.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",236.0,12.18,20.35,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",319.0,21.85,24.98,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",224.0,14.9,16.09,3.68
"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,SIMMRD",284.0,19.29,22.3,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",85.0,12.07,3.69,0.0
"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW",309.0,16.5,27.0,0.0
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD",212.0,32.62,8.07,0.0
"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD",406.0,12.5,38.8,0.7
"BEEF,CURED,BRKFST STRIPS,CKD",449.0,31.3,34.4,1.4
"BEEF,CURED,CORNED BF,BRISKET,RAW",198.0,14.68,14.9,0.14
"BEEF,CURED,CORNED BF,BRISKET,CKD",251.0,18.17,18.98,0.47
"BEEF,CURED,CORNED BF,CND",250.0,27.1,14.93,0.0
"BEEF,CHK,UND BLADE POT RST OR STK,BNLESS,LN,0"" FAT,SEL, RAW",134.0,21.03,5.41,0.19
"BEEF,CURED,DRIED",153.0,31.1,1.94,2.76
"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA",220.0,26.5,12.64,0.14
"BEEF,CHUCK,UNDER BLADE CNTR STEAK,BNLESS,DENVER CUT,LN,0"" FA",228.0,26.49,13.42,0.28
"BEEF,CURED,LUNCHEON MEAT,JELLIED",111.0,19.0,3.3,0.0
"BEEF,CHK,UND BL CNTR STK,BNLESS,DEN CUT,LN,0"" FA, SEL, CKD",209.0,26.53,11.46,0.0
"BEEF,CURED,PASTRAMI",147.0,21.8,5.82,0.36
"BEEF,CHK,UNDBL CNTR STK,BNLESS,DENCUT,LN,0"" FA, ALL GRD, RAW",170.0,19.42,9.99,0.49
"BEEF,CURED,SAUSAGE,CKD,SMOKED",312.0,14.11,26.91,2.42
"BEEF,CURED,SMOKED,CHOPD BF",133.0,20.19,4.42,1.86
"BEEF,CHK,UND BLCNTR STK,BNLESS,DEN CUT,LN,0"" FA, CHOICE, RAW",178.0,19.23,10.96,0.67
"BEEF,CURED,THIN-SLICED BF",176.0,28.11,3.84,5.71
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,ALL GRDS,CKD",273.0,27.33,17.37,0.0
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,CHOIC,CKD",283.0,27.21,18.54,0.0
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD",261.0,27.47,15.92,0.0
"BEEF,COMP OF RTL CUTS,LN,0"" FAT,ALL GRDS,CKD",211.0,29.88,9.28,0.0
"BEEF,COMP OF RTL CUTS,LN,0""FAT,CHOIC,CKD",219.0,29.88,10.15,0.0
"BEEF,COMP OF RTL CUTS,LN,0""FAT,SEL,CKD",201.0,29.89,8.09,0.0
"BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",291.0,26.79,19.52,0.0
"BEEF,BRISKET,WHL,LN,0""FAT,ALL GRDS,CKD,BRSD",218.0,29.75,10.08,0.0
"BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",213.0,32.9,8.01,0.0
"BEEF,BRISKET,FLAT HALF,LN,0""FAT,ALL GRDS,CKD,BRSD",205.0,33.26,6.99,0.0
"BEEF,BRISKET,POINT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",358.0,23.53,28.5,0.0
"BEEF,BRISKET,POINT HALF,LN,0""FAT,ALL GRDS,CKD,BRSD",244.0,28.05,13.8,0.0
"BEEF,CHUCK,ARM POT RST,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",297.0,28.94,19.17,0.0
"BEEF,CHUCK,ARM POT RST,LN & FAT,0"" FAT,SEL,CKD,BRSD",283.0,29.23,17.56,0.0
"BEEF,CHUCK,ARM POT RST,LN,0""FAT,CHOIC,CKD,BRSD",212.0,33.36,7.67,0.0
"BEEF,CHUCK,ARM POT RST,LN,0""FAT,SEL,CKD,BRSD",195.0,33.37,5.8,0.0
"BEEF,CHCK,UNDR BLDE POT RST,BNLS,LN & FAT,0"",CHC,CKD,BRSD",306.0,26.39,21.48,0.0
"BEEF,CHCK,UNDR BLDE POT RST,BNLS,LN & FAT,0"",SEL,CKD,BRSD",288.0,27.17,19.02,0.0
"BEEF,CHUCK,BLADE RST,LN,0""FAT,ALL GRDS,CKD,BRSD",253.0,31.06,13.3,0.0
"BEEF,CHK,UNDER BLADE POT RST,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD",231.0,30.45,11.14,0.0
"BEEF,CHUCK,UNDER BLADE POT RST,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",216.0,30.68,9.44,0.0
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,CHOIC,CKD,RSTD",372.0,22.8,30.49,0.0
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,SEL,CKD,RSTD",331.0,23.48,25.54,0.0
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,ALL GRDS,CKD,RSTD",238.0,27.53,13.4,0.0
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD",253.0,27.53,15.0,0.0
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,SEL,CKD,RSTD",220.0,27.53,11.4,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",249.0,27.27,14.74,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,CKD,BRLD",312.0,24.73,22.84,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,SEL,CKD,BRLD",285.0,24.91,19.79,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD",193.0,29.41,7.53,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",225.0,28.04,11.7,0.0
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD",198.0,28.04,8.7,0.0
"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",223.0,33.56,8.86,0.0
"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",187.0,27.42,7.72,0.0
"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",230.0,32.73,10.0,0.0
"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",199.0,26.76,9.37,0.0
"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRSD",217.0,34.39,7.72,0.0
"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",175.0,28.08,6.06,0.0
"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRSD",214.0,34.0,7.67,0.0
"BEEF,RND,BTTM RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",177.0,27.76,6.48,0.0
"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD",223.0,33.08,9.03,0.0
"Beef, bottom round, roast,lean only, 0"" fat, choice, roasted",185.0,27.23,7.63,0.0
"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,SEL,CKD,BRSD",206.0,34.93,6.3,0.0
"BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD",169.0,28.29,5.33,0.0
"BEEF,RND,EYE OF RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",168.0,29.13,4.8,0.0
"BEEF,RND,EYE OF RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",166.0,28.58,4.87,0.0
"BEEF,RND,EYE OF RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",169.0,29.67,4.72,0.0
"BEEF,RND,EYE OF RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",162.0,29.33,4.09,0.0
"BEEF,RND,EYE OF RND,RST,LN,0"" FAT,CHOIC,CKD,RSTD",162.0,28.74,4.3,0.0
"BEEF,RND,EYE OF RND,RST,LN,0"" FAT,SEL,CKD,RSTD",163.0,29.92,3.87,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",188.0,26.79,8.21,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",196.0,27.01,8.9,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",181.0,26.57,7.53,0.0
"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",174.0,27.53,6.2,0.0
"BEEF,RND,TIP RND,RST,LN,0"" FAT,CHOIC,CKD,RSTD",176.0,27.68,6.42,0.0
"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,CKD,RSTD",149.0,27.37,4.38,0.0
"BEEF,RND,TOP RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",209.0,35.62,6.31,0.0
"BEEF,RND,TOP RND,LN&FAT,0""FAT,CHOIC,CKD,BRSD",216.0,35.62,7.09,0.0
"BEEF,RND,TOP RND,LN&FAT,0""FAT,SEL,CKD,BRSD",200.0,35.62,5.33,0.0
"BEEF,RND,TOP RND,LN,0""FAT,ALL GRDS,CKD,BRSD",199.0,36.12,5.0,0.0
"BEEF,RND,TOP RND,LN,0""FAT,CHOIC,CKD,BRSD",207.0,36.12,5.8,0.0
"BEEF,RND,TOP RND,LN,0""FAT,SEL,CKD,BRSD",190.0,36.12,4.0,0.0
"BEEF,TENDERLOIN,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",218.0,27.58,11.12,0.0
"BEEF,TENDERLOIN,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",231.0,27.97,12.4,0.0
"BEEF,TENDERLOIN,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",205.0,27.18,9.83,0.0
"BEEF,TENDERLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",193.0,28.51,7.86,0.0
"BEEF,TENDERLOIN,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",206.0,28.95,9.14,0.0
"BEEF,TENDERLOIN,STEAK,LN,0"" FAT,SEL,CKD,BRLD",179.0,28.08,6.58,0.0
"BEEF,SHRT LOIN,TOP LOIN,STK,LN & FAT,0"" FAT,ALL GRD,CKD,BRLD",193.0,28.87,7.68,0.0
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",205.0,28.45,9.22,0.0
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",180.0,29.29,6.14,0.0
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",182.0,29.25,6.37,0.0
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",192.0,28.91,7.63,0.0
"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,0"" FAT,SEL,CKD,BRLD",172.0,29.59,5.11,0.0
"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",212.0,29.33,9.67,0.0
"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",219.0,29.02,10.54,0.0
"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",206.0,29.65,8.8,0.0
"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",183.0,30.55,5.79,0.0
"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",188.0,30.29,6.55,0.0
"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,SEL,CKD,BRLD",177.0,30.8,5.03,0.0
"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",276.0,23.96,19.27,0.0
"BEEF,LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",283.0,23.61,20.15,0.0
"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",267.0,24.47,17.98,0.0
"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",212.0,26.07,11.18,0.0
"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",224.0,25.51,12.8,0.0
"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,SEL,CKD,BRLD",194.0,26.89,8.81,0.0
"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",247.0,24.18,15.93,0.0
"BEEF,LOIN,T-BONE STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",258.0,24.05,17.26,0.0
"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",230.0,24.38,14.0,0.0
"BEEF,SHRT LOIN,T-BONE STEAK,LN,1/4"" FAT,ALL GRDS,CKD,BRLD",202.0,27.01,9.6,0.0
"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",189.0,25.99,8.69,0.0
"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",198.0,25.98,9.61,0.0
"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,SEL,CKD,BRLD",177.0,26.0,7.36,0.0
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD",198.0,33.9,5.92,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,RAW",151.0,20.48,7.01,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,RAW",156.0,20.16,7.73,0.0
"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,RAW",145.0,20.8,6.28,0.0
"BEEF,RIB,EYE,SML END (RIBS 10- 12) LN,0"" FAT,SEL,CKD,BRLD",182.0,29.93,6.05,0.0
"BEEF,RND,TOP RND,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",186.0,31.7,5.63,0.0
"BEEF,RND,TOP RND,STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",197.0,31.7,6.81,0.0
"BEEF,RND,TOP RND,STEAK,LN,0"" FAT,SEL,CKD,BRLD",176.0,31.7,4.45,0.0
"BEEF,GROUND,70% LN MEAT / 30% FAT,CRUMBLES,CKD,PAN-BROWNED",270.0,25.56,17.86,0.0
"BEEF,GROUND,70% LN MEAT / 30% FAT,LOAF,CKD,BKD",241.0,23.87,15.37,0.0
"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY CKD,PAN-BROILED",238.0,22.86,15.54,0.0
"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY,CKD,BRLD",273.0,25.38,18.21,0.0
"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW",332.0,14.35,30.0,0.0
"BEEF,CHK,UND BL CNTR STK,BNLESS,DEN CUT,LN,0"" FA, SEL, RAW",157.0,19.71,8.54,0.21
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRI",196.0,28.15,9.23,0.0
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLE",202.0,28.28,9.83,0.0
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",187.0,27.96,8.34,0.0
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",139.0,20.36,6.42,0.0
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",143.0,20.35,6.88,0.0
"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,SEL,RAW",133.0,20.39,5.73,0.0
"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL GRDS,RAW",132.0,21.47,5.11,0.0
"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL CHOICE,RAW",137.0,21.28,5.75,0.0
"BEEF,BRISKET,FLAT HALF,BNLESS,LN,0"" FAT,SEL,RAW",124.0,21.74,4.14,0.0
"BEEF,SHLDR TOP BLADE STK,BNLES,LN & FAT,0"" ,ALL GRDS,CKD,G",210.0,27.59,11.07,0.0
"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",123.0,21.64,4.09,0.0
"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",125.0,21.45,4.35,0.11
"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW",121.0,21.93,3.7,0.0
"BEEF,SHLDR TOP BLDE STK,BNS,LN & FAT,0"" FAT,CHOIC,CKD,G",220.0,27.51,12.26,0.0
"BEEF,CHUCK EYE RST,BNLESS,A BF RST,LN & FAT,0"",ALL G,RAW",180.0,19.18,11.48,0.0
"BEEF,CHUCK EYE RST,BNLS,A BF RST,LN & FAT,0"" FAT,CHOIC,RAW",185.0,19.14,12.02,0.0
